ExtensibilityAPI_Version,1.0.6.0
SqlIndexCharacterConversionRate,0
SqlIndexLoCConversionRate,0
SqlIndexFullyConvertedOccurrences,0
SqlIndexTotalOccurrences,0
SqlIndexTotalParsingErrors,0
SqlIndexTotalConversionErrors,0
SqlIndexTotalWarnings,0
SqlIndexTotalCharacters,0
SqlIndexTotalLinesOfCode,0
SqlTypeObjectConversionRate,0
SqlTypeCharacterConversionRate,0
SqlTypeLoCConversionRate,0
SqlTypeFullyConvertedOccurrences,0
SqlTypeTotalOccurrences,0
SqlTypeTotalParsingErrors,0
SqlTypeTotalConversionErrors,0
SqlTypeTotalWarnings,0
SqlTypeTotalCharacters,0
SqlTypeTotalLinesOfCode,0
SynonymObjectConversionRate,0
SynonymCharacterConversionRate,0
SynonymLoCConversionRate,0
SynonymFullyConvertedOccurrences,0
SynonymTotalOccurrences,0
SynonymTotalParsingErrors,0
SynonymTotalConversionErrors,0
SynonymTotalWarnings,0
SynonymTotalCharacters,0
SynonymTotalLinesOfCode,0
SequenceObjectConversionRate,0
SequenceCharacterConversionRate,0
SequenceLoCConversionRate,0
SequenceFullyConvertedOccurrences,0
SequenceTotalOccurrences,0
SequenceTotalParsingErrors,0
SequenceTotalConversionErrors,0
SequenceTotalWarnings,0
SequenceTotalCharacters,0
SequenceTotalLinesOfCode,0
PackageObjectConversionRate,0
PackageCharacterConversionRate,0
PackageLoCConversionRate,0
PackageFullyConvertedOccurrences,0
PackageTotalOccurrences,0
PackageTotalParsingErrors,0
PackageTotalConversionErrors,0
PackageTotalWarnings,0
PackageTotalCharacters,0
PackageTotalLinesOfCode,0
PBodyObjectConversionRate,0
PBodyCharacterConversionRate,0
PBodyLoCConversionRate,0
PBodyFullyConvertedOccurrences,0
PBodyTotalOccurrences,0
PBodyTotalParsingErrors,0
PBodyTotalConversionErrors,0
PBodyTotalWarnings,0
PBodyTotalCharacters,0
PBodyTotalLinesOfCode,0
DbLinkObjectConversionRate,0
DbLinkCharacterConversionRate,0
DbLinkLoCConversionRate,0
DbLinkFullyConvertedOccurrences,0
DbLinkTotalOccurrences,0
DbLinkTotalParsingErrors,0
DbLinkTotalConversionErrors,0
DbLinkTotalWarnings,0
DbLinkTotalCharacters,0
DbLinkTotalLinesOfCode,0
IndexObjectConversionRate,0
IndexCharacterConversionRate,0
IndexLoCConversionRate,0
IndexFullyConvertedOccurrences,0
IndexTotalOccurrences,0
IndexTotalParsingErrors,0
IndexTotalConversionErrors,0
IndexTotalWarnings,0
IndexTotalCharacters,0
IndexTotalLinesOfCode,0
TypeObjectConversionRate,0
TypeCharacterConversionRate,0
TypeLoCConversionRate,0
TypeFullyConvertedOccurrences,0
TypeTotalOccurrences,0
TypeTotalParsingErrors,0
TypeTotalConversionErrors,0
TypeTotalWarnings,0
TypeTotalCharacters,0
TypeTotalLinesOfCode,0
ProcedureInsidePackageObjectConversionRate,0
ProcedureInsidePackageCharacterConversionRate,0
ProcedureInsidePackageLoCConversionRate,0
ProcedureInsidePackageFullyConvertedOccurrences,0
ProcedureInsidePackageTotalOccurrences,0
ProcedureInsidePackageTotalParsingErrors,0
ProcedureInsidePackageTotalConversionErrors,0
ProcedureInsidePackageTotalWarnings,0
ProcedureInsidePackageTotalCharacters,0
ProcedureInsidePackageTotalLinesOfCode,0
FunctionInsidePackageObjectConversionRate,0
FunctionInsidePackageCharacterConversionRate,0
FunctionInsidePackageLoCConversionRate,0
FunctionInsidePackageFullyConvertedOccurrences,0
FunctionInsidePackageTotalOccurrences,0
FunctionInsidePackageTotalParsingErrors,0
FunctionInsidePackageTotalConversionErrors,0
FunctionInsidePackageTotalWarnings,0
FunctionInsidePackageTotalCharacters,0
FunctionInsidePackageTotalLinesOfCode,0
MaterializedViewObjectConversionRate,0
MaterializedViewCharacterConversionRate,0
MaterializedViewLoCConversionRate,0
MaterializedViewFullyConvertedOccurrences,0
MaterializedViewTotalOccurrences,0
MaterializedViewTotalParsingErrors,0
MaterializedViewTotalConversionErrors,0
MaterializedViewTotalWarnings,0
MaterializedViewTotalCharacters,0
MaterializedViewTotalLinesOfCode,0
TotalProcedure,2
TotalFunction,0
CLanguageFunctions,0
FunctionCallsInsideQueries,0
FunctionCallsOutsideQueries,0
FunctionsInsidePackages,0
FunctionsOutsidePackages,0
FunctionsTransformedToSQLFunctions,0
FunctionsTransformedToProcedures,0
FunctionsTransformedToJavascriptFunctions,0
JavaLanguageFunctions,0
SqlLanguageFunctions,0
WrappedFunctions,0
ProcedureForallWithPatternTransformation,0
ProcedureForallWithDefaultTransformation,0
ProcedureForallNotSupported,0
