SessionID,Name,Description,Severity,Line,Column,ParentFile,Code
fa464115-c755-46c5-88a7-79170a362e8a,Transaction control statement requires additional intervention,COMMIT STATEMENT REQUIRES ADDITIONAL INTERVENTION,Medium,59,3,CLI_Ora/Source_Code.sql,MSCEWI3111
fa464115-c755-46c5-88a7-79170a362e8a,Custom UDF inserted,CUSTOM UDF 'JSDATE_UDF' INSERTED.,Low,55,13,CLI_Ora/Source_Code.sql,MSCEWI1020
fa464115-c755-46c5-88a7-79170a362e8a,Transaction control statement requires additional intervention,COMMIT STATEMENT REQUIRES ADDITIONAL INTERVENTION,Medium,37,3,CLI_Ora/Source_Code.sql,MSCEWI3111
fa464115-c755-46c5-88a7-79170a362e8a,Parameter missing dependency,ONE OR MORE IDENTIFIERS IN THIS STATEMENT WERE CONSIDERED PARAMETERS BY DEFAULT. REFERENCED TABLE NOT FOUND.,Low,35,3,CLI_Ora/Source_Code.sql,MSCEWI1022
fa464115-c755-46c5-88a7-79170a362e8a,Custom UDF inserted,CUSTOM UDF 'JSDATE_UDF' INSERTED.,Low,36,20,CLI_Ora/Source_Code.sql,MSCEWI1020
fa464115-c755-46c5-88a7-79170a362e8a,Sequence warning,SEQUENCE -  GENERATED BY DEFAULT  START WITH 1,Low,4,21,CLI_Ora/Source_Code.sql,MSCEWI1048
