ExtensibilityAPI_Version,2.0.0.0
ExternalRulesCount,0
ExternalRulesExecuted,0
PartitionKey,df3576e8-dadc-4efd-b4dc-74ec46d12793
LicenseData,a3372138-b87e-4a08-b929-3b48b24c63f1
ProductName,Mobilize Snow Conversion Tool 18.2.4+master[5d4912f]-1381.760478
CoreVersion,18.2.4
AppVersion,Not Provided
OSVersion,Unix 5.4.0.1094
SystemRAM,Data not provided
SystemCPU,Data not provided
RunAsAdmin,Data not provided
SnowScript,True
WorkloadName,
StartConversion,2023/02/13 21:52:50 +00:00
CreateSession,2023/02/13 21:52:50 +00:00
ConversionSpeed,40
ElapsedTime,00:00:03
EndConversion,2023/02/13 21:52:54 +00:00
ParsingTime,1.612289
FillSymbolStep1Time,0.2259675
FillSymbolStep2Time,0.2617272
ResolveDependencyTime,0.1253554
PreprocessingTime,0.0910294
PreConversionAssessmentTime,0.0615018
TransformationTime,0.5246317
CloseSession,2023/02/13 21:52:54 +00:00
SqlLinesCount,160
SqlFileCount,3
SqlSizeMB,0.01MB
SqlFilesNotGenerated,0
SqlLoCConversionRate,60
SqlCharacterConversionRate,70.1
SqlUnrecognizedElementsLOC,57
SqlTotalOccurrences,3
SqlFullyConvertedOccurrences,1
SqlFilesConversionRate,100
SqlTotalParsingErrors,17
SqlTotalConversionErrors,0
SqlTotalWarnings,2
SqlTotalCharacters,5190
TotalFiles,3
TotalFilesNotGenerated,0
TotalLinesOfCode,160
TotalSize,6.05KB
TotalErrors,17
TotalWarnings,2
TotalParsingErrors,17
TotalConversionErrors,0
TotalCharacterConversionRate,70.1
TotalLoCConversionRate,60
TotalIdentifiedObjects,7
UnrecognizedElements,11
UnrecognizedElementsLOC,57
SqlIdentifiedObjects,7
ObjectsSuccessfullyConverted,5
ObjectConversionRate,71.43
TableObjectConversionRate,33.33
TableCharacterConversionRate,76.69
TableLoCConversionRate,76.67
TableFullyConvertedOccurrences,1
TableTotalOccurrences,3
TableTotalParsingErrors,6
TableTotalConversionErrors,0
TableTotalWarnings,1
TableTotalCharacters,725
TableTotalLinesOfCode,30
ViewObjectConversionRate,100
ViewCharacterConversionRate,100
ViewLoCConversionRate,100
ViewFullyConvertedOccurrences,2
ViewTotalOccurrences,2
ViewTotalParsingErrors,0
ViewTotalConversionErrors,0
ViewTotalWarnings,1
ViewTotalCharacters,256
ViewTotalLinesOfCode,10
ProcedureObjectConversionRate,100
ProcedureCharacterConversionRate,100
ProcedureLoCConversionRate,100
ProcedureFullyConvertedOccurrences,2
ProcedureTotalOccurrences,2
ProcedureTotalParsingErrors,0
ProcedureTotalConversionErrors,0
ProcedureTotalWarnings,0
ProcedureTotalCharacters,570
ProcedureTotalLinesOfCode,24
ProcedureCursorOccurrences,0
ProcedureLoopOccurrences,0
FunctionObjectConversionRate,0
FunctionCharacterConversionRate,0
FunctionLoCConversionRate,0
FunctionFullyConvertedOccurrences,0
FunctionTotalOccurrences,0
FunctionTotalParsingErrors,0
FunctionTotalConversionErrors,0
FunctionTotalWarnings,0
FunctionTotalCharacters,0
FunctionTotalLinesOfCode,0
SqlTableObjectConversionRate,33.33
SqlTableLoCConversionRate,76.67
SqlTableTotalOccurrences,3
SqlTableFullyConvertedOccurrences,1
SqlTableTotalLinesOfCode,30
SqlTableTotalCharacters,725
SqlTableTotalParsingErrors,6
SqlTableTotalWarnings,1
SqlTableTotalConversionErrors,0
SqlTableCharacterConversionRate,76.69
SqlViewObjectConversionRate,100
SqlViewLoCConversionRate,100
SqlViewTotalOccurrences,2
SqlViewFullyConvertedOccurrences,2
SqlViewTotalLinesOfCode,10
SqlViewTotalCharacters,256
SqlViewTotalParsingErrors,0
SqlViewTotalConversionErrors,0
SqlViewTotalWarnings,1
SqlViewCharacterConversionRate,100
SqlProcedureObjectConversionRate,100
SqlProcedureLoCConversionRate,100
SqlProcedureTotalOccurrences,2
SqlProcedureFullyConvertedOccurrences,2
SqlProcedureTotalLinesOfCode,24
SqlProcedureTotalCharacters,570
SqlProcedureTotalParsingErrors,0
SqlProcedureTotalConversionErrors,0
SqlProcedureTotalWarnings,0
SqlProcedureCharacterConversionRate,100
SqlFunctionObjectConversionRate,0
SqlFunctionLoCConversionRate,0
SqlFunctionTotalOccurrences,0
SqlFunctionFullyConvertedOccurrences,0
SqlFunctionTotalLinesOfCode,0
SqlFunctionTotalCharacters,0
SqlFunctionTotalParsingErrors,0
SqlFunctionTotalConversionErrors,0
SqlFunctionTotalWarnings,0
SqlFunctionCharacterConversionRate,0
TablesWithColumnsWithPartitionByOption,0
IdentifiedObjectsLoc,64
IdentifiedObjectsLocConversionRate,89.06
ActivityCountOcurrences,0
BTEQLinesCount,0
BTEQFileCount,0
BTEQSizeMB,0
BTEQFilesNotGenerated,0
BTEQLoCConversionRate,0
BTEQCharacterConversionRate,0
BTEQUnrecognizedElementsLOC,0
BTEQTotalOccurrences,0
BTEQFullyConvertedOccurrences,0
BTEQFilesConversionRate,0
BTEQTotalParsingErrors,0
BTEQTotalConversionErrors,0
BTEQTotalWarnings,0
BTEQTotalCharacters,0
DynamicResultSetsCount,0
DynamicSqlStatementsCount,0
ColumnsWithPartitionByOption,0
FastLoadLinesCount,0
FastLoadFileCount,0
FastLoadSizeMB,0
FastLoadFilesNotGenerated,0
FastLoadLoCConversionRate,0
FastLoadCharacterConversionRate,0
FastLoadUnrecognizedElementsLOC,0
FastLoadTotalOccurrences,0
FastLoadFullyConvertedOccurrences,0
FastLoadFilesConversionRate,0
FastLoadTotalParsingErrors,0
FastLoadTotalConversionErrors,0
FastLoadTotalWarnings,0
FastLoadTotalCharacters,0
MultiLoadLinesCount,0
MultiLoadFileCount,0
MultiLoadSizeMB,0
MultiLoadFilesNotGenerated,0
MultiLoadLoCConversionRate,0
MultiLoadCharacterConversionRate,0
MultiLoadUnrecognizedElementsLOC,0
MultiLoadTotalOccurrences,0
MultiLoadFullyConvertedOccurrences,0
MultiLoadFilesConversionRate,0
MultiLoadTotalParsingErrors,0
MultiLoadTotalConversionErrors,0
MultiLoadTotalWarnings,0
MultiLoadTotalCharacters,0
TPTLinesCount,0
TPTFileCount,0
TPTSizeMB,0
TPTFilesNotGenerated,0
TPTLoCConversionRate,0
TPTCharacterConversionRate,0
TPTUnrecognizedElementsLOC,0
TPTTotalOccurrences,0
TPTFullyConvertedOccurrences,0
TPTFilesConversionRate,0
TPTTotalParsingErrors,0
TPTTotalConversionErrors,0
TPTTotalWarnings,0
TPTTotalCharacters,0
TPumpLinesCount,0
TPumpFileCount,0
TPumpSizeMB,0
TPumpFilesNotGenerated,0
TPumpLoCConversionRate,0
TPumpCharacterConversionRate,0
TPumpUnrecognizedElementsLOC,0
TPumpTotalOccurrences,0
TPumpFullyConvertedOccurrences,0
TPumpFilesConversionRate,0
TPumpTotalParsingErrors,0
TPumpTotalConversionErrors,0
TPumpTotalWarnings,0
TPumpTotalCharacters,0
ScriptTotalLoc,0
ScriptTotalParsingErrors,0
ScriptTotalConversionErrors,0
ScriptFilesConversionRate,0
ScriptIdentifiedObjects,0
ScriptLocConversionRate,0
ScriptsUnrecognizedElementsLOC,0
ScriptFileCount,0
ScriptTableObjectConversionRate,0
ScriptTableLoCConversionRate,0
ScriptTableTotalOccurrences,0
ScriptTableFullyConvertedOccurrences,0
ScriptTableTotalWarnings,0
ScriptTableTotalLinesOfCode,0
ScriptTableTotalCharacters,0
ScriptTableTotalParsingErrors,0
ScriptTableTotalConversionErrors,0
ScriptTableCharacterConversionRate,0
ScriptViewObjectConversionRate,0
