SessionID,Name,Description,Severity,Line,Column,ParentFile,Code
7083bf20-2aef-410d-b359-de63a0409fea,Transaction control statement requires additional intervention,COMMIT STATEMENT REQUIRES ADDITIONAL INTERVENTION,Medium,59,3,CLI_Ora/Source_Code.sql,MSCEWI3111
7083bf20-2aef-410d-b359-de63a0409fea,Transaction control statement requires additional intervention,COMMIT STATEMENT REQUIRES ADDITIONAL INTERVENTION,Medium,37,3,CLI_Ora/Source_Code.sql,MSCEWI3111
7083bf20-2aef-410d-b359-de63a0409fea,Sequence warning,SEQUENCE -  GENERATED BY DEFAULT  START WITH 1,Low,4,21,CLI_Ora/Source_Code.sql,MSCEWI1048
