PartitionKey,FileType,ObjectName,HighLevelObject,ObjectDb,FileName,LineNumber,LinesOfCode,HighestEWISeverity,ConversionStatus,EWIs,UDFsUsed,NameOfUDFFiles,CharConversionPercentage,LoCConversionPercentage,EWIsNumber,ObjectDB,CharacterCount
35ca3616-d200-4908-a466-7640cc00ab6b,SQL,DemoUsers,CREATE TABLE,Undefined DB name,CLI_Ora/Source_Code.sql,2,9,Critical,Partially Converted,MSCEWI1001,,,--,77.78%,1,,
35ca3616-d200-4908-a466-7640cc00ab6b,SQL,View_DemoUsers,CREATE / REPLACE VIEW,Undefined DB name,CLI_Ora/Source_Code.sql,22,4,,Fully Converted,,,,--,100%,0,,
